Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather,Occupancy_Classified
2023-08-16 11:16:33,36.3,0.1,1701.0,0.0,44.0,65.0,70.0,26.1,14.1,72.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:16:38,36.1,0.1,1699.0,0.0,44.0,64.0,69.0,26.1,14.1,70.5,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:16:44,36.5,0.1,1695.0,0.0,44.0,64.0,69.0,26.1,14.1,77.2,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:16:50,34.2,0.1,1690.0,0.0,43.0,64.0,68.0,26.1,14.1,72.2,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:16:55,36.3,0.1,1684.0,0.0,43.0,64.0,67.0,26.1,14.0,75.3,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:01,36.1,0.1,1678.0,0.0,43.0,63.0,66.0,26.1,14.0,73.3,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:06,36.1,0.1,1672.0,0.0,44.0,64.0,67.0,26.1,14.1,71.8,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:12,36.3,0.1,1668.0,0.0,43.0,63.0,66.0,26.1,14.1,69.5,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:17,36.3,0.1,1667.0,0.0,44.0,63.0,66.0,26.1,14.0,78.6,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:23,36.3,0.1,1666.0,0.0,43.0,62.0,65.0,26.1,14.0,72.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:29,36.1,0.1,1666.0,0.0,43.0,62.0,65.0,26.1,14.1,70.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:34,36.3,0.1,1666.0,0.0,44.0,63.0,67.0,26.1,14.1,76.7,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:40,36.1,0.1,1667.0,0.0,44.0,62.0,66.0,26.1,14.1,71.6,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:45,36.5,0.1,1667.0,0.0,43.0,61.0,65.0,26.1,14.1,76.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:51,36.3,0.1,1671.0,0.0,44.0,62.0,66.0,26.1,14.1,78.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:17:57,36.1,0.1,1676.0,0.0,43.0,61.0,65.0,26.2,14.1,70.6,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:02,36.1,0.1,1683.0,0.0,43.0,62.0,66.0,26.2,14.1,77.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:08,36.3,0.1,1688.0,0.0,43.0,62.0,66.0,26.2,14.1,78.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:13,36.1,0.1,1692.0,0.0,42.0,60.0,64.0,26.2,14.1,69.6,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:19,36.3,0.1,1696.0,0.0,41.0,60.0,64.0,26.2,14.1,82.2,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:25,36.3,0.1,1699.0,0.0,41.0,60.0,64.0,26.2,14.1,77.0,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:30,36.1,0.1,1702.0,0.0,41.0,60.0,65.0,26.2,14.1,75.4,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:36,36.1,0.1,1704.0,0.0,41.0,61.0,65.0,26.2,14.1,75.6,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:41,36.5,0.1,1707.0,0.0,41.0,61.0,66.0,26.2,14.1,70.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:47,36.1,0.1,1710.0,0.0,41.0,62.0,67.0,26.2,14.1,76.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:52,36.3,0.1,1713.0,0.0,41.0,62.0,67.0,26.2,14.1,76.4,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:18:58,36.1,0.1,1716.0,0.0,41.0,62.0,68.0,26.2,14.1,70.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:04,36.3,0.1,1718.0,0.0,41.0,62.0,68.0,26.2,14.1,76.7,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:09,36.3,0.1,1721.0,0.0,41.0,63.0,67.0,26.2,14.1,75.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:15,36.3,0.1,1724.0,0.0,40.0,62.0,67.0,26.2,14.1,76.1,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:20,36.3,0.1,1726.0,0.0,40.0,62.0,66.0,26.2,14.1,71.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:26,36.3,0.1,1727.0,0.0,40.0,61.0,66.0,26.2,14.1,71.3,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:32,36.3,0.1,1728.0,0.0,40.0,61.0,66.0,26.2,14.1,72.7,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:37,36.1,0.1,1729.0,0.0,40.0,60.0,65.0,26.2,14.1,72.5,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:43,36.3,0.1,1729.0,0.0,40.0,60.0,65.0,26.2,14.1,71.8,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:48,36.3,0.1,1730.0,0.0,38.0,60.0,65.0,26.2,14.1,70.0,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:54,35.5,0.1,1730.0,0.0,38.0,60.0,65.0,26.2,14.1,77.9,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
2023-08-16 11:19:59,36.1,0.1,1731.0,0.0,38.0,60.0,65.0,26.2,14.1,69.0,26.0,middle,ac,lab,2.0,sunny,Occ_Class_3
