,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
0,1701.0,44.0,65.0,70.0,26.1,14.1,3,2.0,4,2
1,1699.0,44.0,64.0,69.0,26.1,14.1,3,2.0,4,2
2,1695.0,44.0,64.0,69.0,26.1,14.1,3,2.0,4,2
3,1690.0,43.0,64.0,68.0,26.1,14.1,3,2.0,4,2
4,1684.0,43.0,64.0,67.0,26.1,14.0,3,2.0,4,2
5,1678.0,43.0,63.0,66.0,26.1,14.0,3,2.0,4,2
6,1672.0,44.0,64.0,67.0,26.1,14.1,3,2.0,4,2
7,1668.0,43.0,63.0,66.0,26.1,14.1,3,2.0,4,2
8,1667.0,44.0,63.0,66.0,26.1,14.0,3,2.0,4,2
9,1666.0,43.0,62.0,65.0,26.1,14.0,3,2.0,4,2
10,1666.0,43.0,62.0,65.0,26.1,14.1,3,2.0,4,2
11,1666.0,44.0,63.0,67.0,26.1,14.1,3,2.0,4,2
12,1667.0,44.0,62.0,66.0,26.1,14.1,3,2.0,4,2
13,1667.0,43.0,61.0,65.0,26.1,14.1,3,2.0,4,2
14,1671.0,44.0,62.0,66.0,26.1,14.1,3,2.0,4,2
15,1676.0,43.0,61.0,65.0,26.2,14.1,3,2.0,4,2
16,1683.0,43.0,62.0,66.0,26.2,14.1,3,2.0,4,2
17,1688.0,43.0,62.0,66.0,26.2,14.1,3,2.0,4,2
18,1692.0,42.0,60.0,64.0,26.2,14.1,3,2.0,4,2
19,1696.0,41.0,60.0,64.0,26.2,14.1,3,2.0,4,2
20,1699.0,41.0,60.0,64.0,26.2,14.1,3,2.0,4,2
21,1702.0,41.0,60.0,65.0,26.2,14.1,3,2.0,4,2
22,1704.0,41.0,61.0,65.0,26.2,14.1,3,2.0,4,2
23,1707.0,41.0,61.0,66.0,26.2,14.1,3,2.0,4,2
24,1710.0,41.0,62.0,67.0,26.2,14.1,3,2.0,4,2
25,1713.0,41.0,62.0,67.0,26.2,14.1,3,2.0,4,2
26,1716.0,41.0,62.0,68.0,26.2,14.1,3,2.0,4,2
27,1718.0,41.0,62.0,68.0,26.2,14.1,3,2.0,4,2
28,1721.0,41.0,63.0,67.0,26.2,14.1,3,2.0,4,2
29,1724.0,40.0,62.0,67.0,26.2,14.1,3,2.0,4,2
30,1726.0,40.0,62.0,66.0,26.2,14.1,3,2.0,4,2
31,1727.0,40.0,61.0,66.0,26.2,14.1,3,2.0,4,2
32,1728.0,40.0,61.0,66.0,26.2,14.1,3,2.0,4,2
