,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
0,1701.0,44.0,65.0,70.0,26.1,14.1,72.1,middle,2.0,sunny,2
1,1699.0,44.0,64.0,69.0,26.1,14.1,70.5,middle,2.0,sunny,2
2,1695.0,44.0,64.0,69.0,26.1,14.1,77.2,middle,2.0,sunny,2
3,1690.0,43.0,64.0,68.0,26.1,14.1,72.2,middle,2.0,sunny,2
4,1684.0,43.0,64.0,67.0,26.1,14.0,75.3,middle,2.0,sunny,2
5,1678.0,43.0,63.0,66.0,26.1,14.0,73.3,middle,2.0,sunny,2
6,1672.0,44.0,64.0,67.0,26.1,14.1,71.8,middle,2.0,sunny,2
7,1668.0,43.0,63.0,66.0,26.1,14.1,69.5,middle,2.0,sunny,2
8,1667.0,44.0,63.0,66.0,26.1,14.0,78.6,middle,2.0,sunny,2
9,1666.0,43.0,62.0,65.0,26.1,14.0,72.1,middle,2.0,sunny,2
10,1666.0,43.0,62.0,65.0,26.1,14.1,70.9,middle,2.0,sunny,2
11,1666.0,44.0,63.0,67.0,26.1,14.1,76.7,middle,2.0,sunny,2
12,1667.0,44.0,62.0,66.0,26.1,14.1,71.6,middle,2.0,sunny,2
13,1667.0,43.0,61.0,65.0,26.1,14.1,76.9,middle,2.0,sunny,2
14,1671.0,44.0,62.0,66.0,26.1,14.1,78.9,middle,2.0,sunny,2
15,1676.0,43.0,61.0,65.0,26.2,14.1,70.6,middle,2.0,sunny,2
16,1683.0,43.0,62.0,66.0,26.2,14.1,77.1,middle,2.0,sunny,2
17,1688.0,43.0,62.0,66.0,26.2,14.1,78.1,middle,2.0,sunny,2
18,1692.0,42.0,60.0,64.0,26.2,14.1,69.6,middle,2.0,sunny,2
19,1696.0,41.0,60.0,64.0,26.2,14.1,82.2,middle,2.0,sunny,2
20,1699.0,41.0,60.0,64.0,26.2,14.1,77.0,middle,2.0,sunny,2
21,1702.0,41.0,60.0,65.0,26.2,14.1,75.4,middle,2.0,sunny,2
22,1704.0,41.0,61.0,65.0,26.2,14.1,75.6,middle,2.0,sunny,2
23,1707.0,41.0,61.0,66.0,26.2,14.1,70.1,middle,2.0,sunny,2
24,1710.0,41.0,62.0,67.0,26.2,14.1,76.1,middle,2.0,sunny,2
25,1713.0,41.0,62.0,67.0,26.2,14.1,76.4,middle,2.0,sunny,2
26,1716.0,41.0,62.0,68.0,26.2,14.1,70.9,middle,2.0,sunny,2
27,1718.0,41.0,62.0,68.0,26.2,14.1,76.7,middle,2.0,sunny,2
28,1721.0,41.0,63.0,67.0,26.2,14.1,75.9,middle,2.0,sunny,2
29,1724.0,40.0,62.0,67.0,26.2,14.1,76.1,middle,2.0,sunny,2
30,1726.0,40.0,62.0,66.0,26.2,14.1,71.9,middle,2.0,sunny,2
31,1727.0,40.0,61.0,66.0,26.2,14.1,71.3,middle,2.0,sunny,2
32,1728.0,40.0,61.0,66.0,26.2,14.1,72.7,middle,2.0,sunny,2
33,1729.0,40.0,60.0,65.0,26.2,14.1,72.5,middle,2.0,sunny,2
34,1729.0,40.0,60.0,65.0,26.2,14.1,71.8,middle,2.0,sunny,2
35,1730.0,38.0,60.0,65.0,26.2,14.1,70.0,middle,2.0,sunny,2
36,1730.0,38.0,60.0,65.0,26.2,14.1,77.9,middle,2.0,sunny,2
37,1731.0,38.0,60.0,65.0,26.2,14.1,69.0,middle,2.0,sunny,2
38,1731.0,38.0,61.0,65.0,26.2,14.1,71.3,middle,2.0,sunny,2
39,1731.0,39.0,62.0,66.0,26.2,14.1,79.6,middle,2.0,sunny,2
40,1731.0,38.0,62.0,65.0,26.2,14.1,74.3,middle,2.0,sunny,2
41,1730.0,38.0,62.0,66.0,26.1,14.1,70.9,middle,2.0,sunny,2
42,1729.0,38.0,62.0,66.0,26.1,14.1,85.9,middle,2.0,sunny,2
43,1729.0,41.0,64.0,68.0,26.1,14.1,72.4,middle,2.0,sunny,2
