Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-13 12:44:17,25.9,0.2,438,0.0,26.0,38.0,41.0,31.3,16.6,70.7,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:23,23.7,0.2,436,0.0,26.0,38.0,41.0,31.3,16.6,75.3,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:28,30.8,0.2,434,0.0,26.0,38.0,41.0,31.3,16.6,68.3,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:34,30.6,0.2,432,0.0,26.0,38.0,41.0,31.3,16.6,70.7,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:40,25.1,0.2,429,0.0,26.0,38.0,41.0,31.3,16.7,71.3,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:45,24.3,0.2,427,0.0,26.0,38.0,41.0,31.4,16.6,68.5,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:51,22.8,0.2,425,0.0,26.0,38.0,41.0,31.3,16.6,72.5,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:44:56,30.8,0.2,424,0.0,27.0,39.0,42.0,31.3,16.6,74.6,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:02,30.6,0.2,423,0.0,27.0,39.0,42.0,31.3,16.6,72.0,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:07,31.0,0.2,422,0.0,26.0,38.0,41.0,31.3,16.6,67.5,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:13,30.6,0.2,420,0.0,27.0,41.0,42.0,31.3,16.6,68.0,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:19,30.8,0.2,419,0.0,27.0,41.0,42.0,31.3,16.6,68.6,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:24,30.8,0.2,418,0.0,26.0,40.0,41.0,31.3,16.6,68.6,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:30,30.8,0.2,417,0.0,28.0,42.0,43.0,31.3,16.6,69.3,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:35,31.0,0.2,416,0.0,29.0,41.0,43.0,31.3,16.7,69.3,14.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:41,30.8,0.2,415,0.0,29.0,42.0,43.0,31.4,16.6,75.3,14.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:47,30.6,0.2,414,0.0,30.0,43.0,44.0,31.3,16.6,70.2,14.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:52,30.8,0.2,413,4.0,29.0,42.0,43.0,31.3,16.6,68.8,14.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:45:58,31.0,0.2,412,0.0,31.0,43.0,44.0,31.3,16.6,74.7,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:46:03,30.8,0.2,411,0.0,30.0,42.0,43.0,31.3,16.6,72.1,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:46:09,29.4,0.2,410,0.0,31.0,43.0,43.0,31.3,16.6,69.6,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:46:15,31.0,0.2,409,0.0,31.0,42.0,43.0,31.3,16.6,72.8,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:46:20,30.6,0.2,408,0.0,31.0,42.0,42.0,31.3,16.6,67.0,15.0,middle,non ac,classroom,0.0,cloudy
2023-09-13 12:46:26,30.8,0.2,408,0.0,31.0,41.0,41.0,31.3,16.6,73.3,16.0,middle,non ac,classroom,0.0,cloudy
