Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-20 11:26:58,27.4,0.1,2404.0,0.0,6.0,12.0,16.0,27.9,14.9,75.0,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:04,32.2,0.1,2402.0,0.0,7.0,13.0,17.0,27.9,14.9,74.4,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:09,31.8,0.1,2401.0,0.0,7.0,13.0,17.0,27.9,14.9,74.9,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:15,31.7,0.1,2401.0,0.0,6.0,12.0,16.0,27.9,14.9,76.7,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:21,27.1,0.1,2401.0,0.0,7.0,13.0,17.0,27.9,14.9,68.3,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:26,27.3,0.1,2400.0,0.0,8.0,14.0,18.0,27.9,14.9,69.6,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:32,32.0,0.1,2398.0,0.0,8.0,14.0,18.0,27.9,14.9,77.8,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:37,31.8,0.1,2397.0,0.0,8.0,14.0,18.0,27.9,14.9,70.2,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:43,24.9,0.1,2397.0,0.0,7.0,12.0,17.0,27.9,14.9,74.4,23.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:49,26.2,0.1,2396.0,0.0,8.0,13.0,18.0,27.9,14.9,71.0,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:27:54,25.4,0.1,2395.0,0.0,7.0,12.0,17.0,27.9,14.9,70.5,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:00,32.0,0.1,2393.0,0.0,7.0,12.0,17.0,27.9,14.9,69.6,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:05,31.8,0.1,2391.0,0.0,7.0,13.0,17.0,27.9,14.9,69.6,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:11,22.3,0.1,2390.0,0.0,7.0,13.0,17.0,27.9,14.9,70.8,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:16,23.1,0.1,2389.0,0.0,7.0,13.0,17.0,27.8,14.9,72.8,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:22,32.2,0.1,2389.0,0.0,8.0,14.0,18.0,27.8,14.9,83.9,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:28,32.0,0.1,2388.0,0.0,7.0,15.0,18.0,27.9,14.9,69.2,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:33,31.8,0.1,2387.0,0.0,7.0,15.0,18.0,27.8,14.9,76.2,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:39,30.4,0.1,2387.0,0.0,8.0,16.0,19.0,27.8,14.9,69.3,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:44,32.0,0.1,2387.0,0.0,7.0,15.0,18.0,27.8,14.9,69.3,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:50,32.2,0.1,2387.0,0.0,7.0,15.0,18.0,27.8,14.9,78.1,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:28:56,32.0,0.1,2386.0,0.0,7.0,15.0,18.0,27.8,14.9,69.0,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:01,30.1,0.1,2385.0,0.0,7.0,16.0,18.0,27.8,14.9,70.8,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:07,30.1,0.1,2385.0,0.0,7.0,16.0,18.0,27.8,14.9,75.1,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:12,31.8,0.1,2384.0,0.0,7.0,16.0,18.0,27.8,14.9,81.2,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:18,31.8,0.1,2385.0,0.0,7.0,16.0,18.0,27.8,14.9,70.9,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:23,32.0,0.1,2385.0,0.0,7.0,16.0,18.0,27.8,14.9,76.9,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:29,30.3,0.1,2387.0,0.0,7.0,17.0,17.0,27.8,14.9,70.1,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:35,30.3,0.1,2389.0,0.0,8.0,18.0,18.0,27.8,14.9,74.2,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:40,32.0,0.1,2391.0,0.0,8.0,18.0,19.0,27.8,14.9,74.7,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:46,32.0,0.1,2393.0,0.0,7.0,18.0,18.0,27.7,14.9,68.8,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:51,32.0,0.1,2394.0,0.0,7.0,18.0,18.0,27.7,14.9,68.3,29.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:29:57,29.3,0.1,2395.0,0.0,7.0,18.0,18.0,27.7,14.8,76.4,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:03,30.1,0.1,2396.0,0.0,7.0,18.0,18.0,27.7,14.8,76.9,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:08,31.8,0.1,2396.0,0.0,7.0,17.0,17.0,27.7,14.8,80.1,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:14,32.0,0.1,2397.0,0.0,7.0,17.0,17.0,27.7,14.8,68.9,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:19,30.3,0.1,2398.0,0.0,7.0,17.0,17.0,27.6,14.8,68.8,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:25,30.1,0.1,2400.0,0.0,8.0,17.0,18.0,27.6,14.8,67.4,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:30,30.3,0.1,2401.0,0.0,7.0,16.0,17.0,27.6,14.8,77.0,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:36,32.0,0.1,2403.0,0.0,6.0,15.0,17.0,27.6,14.8,72.2,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:42,32.0,0.1,2404.0,0.0,6.0,15.0,17.0,27.5,14.8,74.8,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:47,30.3,0.1,2406.0,0.0,6.0,13.0,16.0,27.5,14.8,67.0,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:53,29.9,0.1,2408.0,0.0,6.0,13.0,16.0,27.5,14.8,70.9,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:30:58,31.8,0.1,2411.0,0.0,6.0,12.0,16.0,27.5,14.8,74.8,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:31:04,32.0,0.1,2415.0,0.0,7.0,13.0,17.0,27.5,14.8,69.6,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:31:10,31.8,0.1,2418.0,0.0,7.0,13.0,17.0,27.5,14.8,67.5,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:31:15,30.3,0.1,2421.0,0.0,6.0,12.0,16.0,27.5,14.8,74.1,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:31:21,29.9,0.1,2425.0,0.0,6.0,12.0,17.0,27.5,14.8,68.5,31.0,middle,ac,classroom,3.0,cloudy
2023-09-20 11:31:26,31.8,0.1,2427.0,0.0,7.0,14.0,18.0,27.5,14.8,74.6,31.0,middle,ac,classroom,3.0,cloudy
