Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather,Occupancy_Classified
2023-09-22 11:35:29,31.7,0.1,1100.0,0.0,52.0,78.0,86.0,31.4,16.7,78.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:35:35,31.5,0.1,1104.0,0.0,51.0,78.0,84.0,31.4,16.7,71.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:35:40,31.5,0.1,1108.0,0.0,51.0,77.0,84.0,31.4,16.7,73.9,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:35:46,31.3,0.1,1110.0,0.0,51.0,77.0,83.0,31.4,16.7,77.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:35:52,31.5,0.1,1111.0,0.0,51.0,77.0,83.0,31.4,16.7,71.4,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:35:57,31.7,0.1,1114.0,0.0,51.0,77.0,83.0,31.4,16.7,81.2,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:03,31.3,0.1,1116.0,0.0,52.0,77.0,84.0,31.4,16.7,78.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:08,31.1,0.1,1117.0,0.0,52.0,77.0,84.0,31.4,16.7,71.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:14,31.3,0.1,1118.0,0.0,53.0,78.0,85.0,31.4,16.7,72.2,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:20,31.1,0.1,1119.0,0.0,54.0,78.0,86.0,31.4,16.7,78.8,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:25,31.5,0.1,1119.0,0.0,54.0,78.0,86.0,31.4,16.7,71.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:31,31.1,0.1,1120.0,0.0,53.0,77.0,85.0,31.4,16.7,75.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:36,31.1,0.1,1120.0,0.0,53.0,77.0,84.0,31.4,16.7,77.5,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:42,31.3,0.1,1120.0,0.0,53.0,76.0,83.0,31.5,16.7,73.9,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:48,31.1,0.1,1120.0,0.0,52.0,75.0,83.0,31.4,16.7,83.1,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:53,29.4,0.1,1121.0,0.0,52.0,75.0,82.0,31.4,16.7,73.3,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:36:59,31.0,0.1,1123.0,0.0,51.0,74.0,81.0,31.4,16.7,71.0,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:37:04,31.1,0.1,1126.0,0.0,51.0,74.0,81.0,31.5,16.7,80.4,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
2023-09-22 11:37:10,31.3,0.1,1130.0,0.0,51.0,75.0,80.0,31.5,16.7,69.7,59.0,middle,non ac,classroom,3.0,cloudy,Occ_Class_6
