Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather,Occupancy_Classified
2023-09-27 11:13:47,29.1,0.1,1769,0,33,52,57,27.9,14.9,65.2,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:13:52,29.9,0.1,1768,0,33,52,57,27.9,14.9,65.2,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:13:58,28.1,0.1,1767,0,34,52,57,27.9,14.9,72.8,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:03,29.8,0.1,1764,0,34,52,56,27.9,14.9,70.3,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:09,29.8,0.1,1762,0,34,52,56,27.9,14.9,65.9,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:15,29.9,0.1,1761,0,34,52,56,27.9,14.9,76.4,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:20,29.9,0.1,1760,0,34,52,56,27.9,14.9,64.8,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:26,27.3,0.1,1759,0,34,52,56,27.9,14.9,66.1,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:31,29.9,0.1,1757,0,35,54,57,27.9,14.9,65.7,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:37,29.6,0.1,1756,0,34,53,57,27.9,14.9,65.9,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:43,29.8,0.1,1755,0,35,54,58,27.9,14.9,65.5,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:48,29.8,0.1,1754,0,34,54,58,27.9,14.9,70.8,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:54,29.6,0.1,1754,0,35,54,59,27.8,14.9,68.2,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:14:59,29.8,0.1,1754,0,36,55,61,27.8,14.9,65.9,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:15:05,28.9,0.1,1752,0,36,55,61,27.9,14.9,65.9,21,backside,ac,lab,2,overcast,Occ_Class_3
2023-09-27 11:15:10,29.8,0.1,1751,0,36,55,61,27.8,14.9,65.5,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:16,29.8,0.1,1750,0,36,54,61,27.8,14.9,66.8,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:22,29.6,0.1,1749,0,35,53,60,27.8,14.9,69.2,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:27,29.6,0.1,1748,0,35,52,59,27.8,14.9,66.3,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:33,29.6,0.1,1747,0,35,53,60,27.8,14.9,65.5,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:38,29.8,0.1,1745,0,34,52,59,27.8,14.9,68.6,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:44,29.6,0.1,1742,0,35,53,59,27.8,14.9,65.2,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:50,29.6,0.1,1740,0,35,52,59,27.8,14.9,74.7,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:15:55,29.6,0.1,1738,0,33,51,58,27.8,14.9,71.2,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:16:01,29.6,0.1,1735,0,34,52,58,27.8,14.9,65.5,20,backside,ac,lab,2,overcast,Occ_Class_2
2023-09-27 11:16:06,29.6,0.1,1732,0,33,51,57,27.8,14.9,86.2,20,backside,ac,lab,2,overcast,Occ_Class_2
