Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather,Occupancy_Classified
2023-08-22 11:40:09,$,$,500.0,0.0,41.0,62.0,67.0,25.8,13.9,74.3,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:15,$,$,501.0,0.0,41.0,61.0,67.0,25.8,13.9,72.5,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:21,$,$,502.0,0.0,40.0,61.0,67.0,25.8,13.9,67.8,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:26,$,$,503.0,0.0,40.0,61.0,66.0,25.8,13.9,68.0,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:32,$,$,503.0,0.0,40.0,61.0,65.0,25.8,13.9,68.3,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:37,$,$,503.0,0.0,40.0,61.0,64.0,25.8,13.9,68.5,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:43,$,$,504.0,0.0,40.0,60.0,64.0,25.8,13.9,73.4,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:49,$,$,505.0,0.0,40.0,60.0,63.0,25.8,13.9,74.6,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:40:54,$,$,506.0,0.0,38.0,60.0,63.0,25.8,13.9,72.9,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:00,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,75.1,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:05,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,77.2,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:11,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,68.0,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:16,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,76.1,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:22,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,77.9,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:28,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,69.9,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:33,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,71.3,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:39,$,$,506.0,0.0,39.0,61.0,63.0,25.8,13.9,73.2,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:44,$,$,506.0,0.0,38.0,60.0,62.0,25.8,13.9,70.9,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
2023-08-22 11:41:50,$,$,507.0,0.0,39.0,61.0,64.0,25.8,13.9,67.8,2.0,middle,ac,classroom,3.0,overcast,Occ_Class_1
