Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-13 11:39:47,2023-09-13 11:39:47,27,frontside,non ac,classroom,0,cloudy
2023-09-13 11:40:41,2023-09-13 11:40:41,25,frontside,non ac,classroom,0,cloudy
2023-09-13 11:41:40,2023-09-13 11:41:40,24,frontside,non ac,classroom,0,cloudy
2023-09-13 11:42:14,2023-09-13 11:42:14,22,frontside,non ac,classroom,0,cloudy
2023-09-13 11:42:45,2023-09-13 11:42:45,21,frontside,non ac,classroom,0,cloudy
2023-09-13 11:43:09,2023-09-13 11:43:09,19,frontside,non ac,classroom,0,cloudy
2023-09-13 11:43:29,2023-09-13 11:43:29,21,frontside,non ac,classroom,0,cloudy
2023-09-13 11:44:15,2023-09-13 11:44:15,23,frontside,non ac,classroom,0,cloudy
2023-09-13 11:44:56,2023-09-13 11:44:56,24,frontside,non ac,classroom,0,cloudy
2023-09-13 11:46:20,2023-09-13 11:46:20,23,frontside,non ac,classroom,0,cloudy
2023-09-13 11:46:26,2023-09-13 11:46:26,26,frontside,non ac,classroom,0,cloudy
2023-09-13 11:46:45,2023-09-13 11:46:45,25,frontside,non ac,classroom,0,cloudy
2023-09-13 11:48:02,2023-09-13 11:48:02,26,frontside,non ac,classroom,0,cloudy
2023-09-13 11:48:13,2023-09-13 11:48:13,27,frontside,non ac,classroom,0,cloudy
2023-09-13 11:48:36,2023-09-13 11:48:36,28,frontside,non ac,classroom,0,cloudy
2023-09-13 11:50:58,2023-09-13 11:50:58,29,frontside,non ac,classroom,0,cloudy
2023-09-13 11:52:29,2023-09-13 11:52:29,28,frontside,non ac,classroom,0,cloudy
2023-09-13 11:52:59,2023-09-13 11:52:59,29,frontside,non ac,classroom,0,cloudy
2023-09-13 11:54:17,2023-09-13 11:54:17,30,frontside,non ac,classroom,0,cloudy
