Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-14 12:06:26,2023-09-14 12:06:26,10,middle,non ac,classroom,3,cloudy
2023-09-14 12:06:42,2023-09-14 12:06:42,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:06:50,2023-09-14 12:06:50,11,middle,non ac,classroom,3,cloudy
2023-09-14 12:07:36,2023-09-14 12:07:36,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:07:44,2023-09-14 12:07:44,11,middle,non ac,classroom,3,cloudy
2023-09-14 12:08:01,2023-09-14 12:08:01,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:08:05,2023-09-14 12:08:05,14,middle,non ac,classroom,3,cloudy
2023-09-14 12:09:43,2023-09-14 12:09:43,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:09:51,2023-09-14 12:09:51,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:11:16,2023-09-14 12:11:16,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:11:31,2023-09-14 12:11:31,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:11:45,2023-09-14 12:11:45,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:12:11,2023-09-14 12:12:11,14,middle,non ac,classroom,3,cloudy
2023-09-14 12:13:18,2023-09-14 12:13:18,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:16:28,2023-09-14 12:16:28,15,middle,non ac,classroom,3,cloudy
2023-09-14 12:16:40,2023-09-14 12:16:40,17,middle,non ac,classroom,3,cloudy
2023-09-14 12:16:47,2023-09-14 12:16:47,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:17:39,2023-09-14 12:17:39,11,middle,non ac,classroom,3,cloudy
2023-09-14 12:18:43,2023-09-14 12:18:43,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:18:45,2023-09-14 12:18:45,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:19:00,2023-09-14 12:19:00,16,middle,non ac,classroom,3,cloudy
2023-09-14 12:19:07,2023-09-14 12:19:07,15,middle,non ac,classroom,3,cloudy
2023-09-14 12:20:33,2023-09-14 12:20:33,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:23:15,2023-09-14 12:23:15,15,middle,non ac,classroom,3,cloudy
2023-09-14 12:25:15,2023-09-14 12:25:15,16,middle,non ac,classroom,3,cloudy
2023-09-14 12:27:37,2023-09-14 12:27:37,15,middle,non ac,classroom,3,cloudy
2023-09-14 12:30:28,2023-09-14 12:30:28,16,middle,non ac,classroom,3,cloudy
2023-09-14 12:30:39,2023-09-14 12:30:39,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:30:46,2023-09-14 12:30:46,9,middle,non ac,classroom,3,cloudy
2023-09-14 12:35:01,2023-09-14 12:35:01,12,middle,non ac,classroom,3,cloudy
2023-09-14 12:35:28,2023-09-14 12:35:28,9,middle,non ac,classroom,3,cloudy
2023-09-14 12:36:57,2023-09-14 12:36:57,13,middle,non ac,classroom,3,cloudy
2023-09-14 12:37:09,2023-09-14 12:37:09,9,middle,non ac,classroom,3,cloudy
2023-09-14 12:44:38,2023-09-14 12:44:38,8,middle,non ac,classroom,3,cloudy
2023-09-14 12:45:21,2023-09-14 12:45:21,6,middle,non ac,classroom,3,cloudy
