Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-21 11:30:24,2023-09-21 11:30:24,23,middle,ac,lab,2,overcast
2023-09-21 11:37:12,2023-09-21 11:37:12,20,middle,ac,lab,2,overcast
2023-09-21 11:37:40,2023-09-21 11:37:40,17,middle,ac,lab,2,overcast
2023-09-21 11:37:47,2023-09-21 11:38:05,19,middle,ac,lab,2,overcast
2023-09-21 11:38:16,2023-09-21 11:38:16,18,middle,ac,lab,2,overcast
2023-09-21 11:40:17,2023-09-21 11:40:17,15,middle,ac,lab,2,overcast
2023-09-21 11:41:49,2023-09-21 11:41:49,14,middle,ac,lab,2,overcast
2023-09-21 11:42:04,2023-09-21 11:42:04,13,middle,ac,lab,2,overcast
2023-09-21 11:45:02,2023-09-21 11:45:02,12,middle,ac,lab,2,overcast
2023-09-21 11:46:17,2023-09-21 11:46:17,13,middle,ac,lab,2,overcast
2023-09-21 11:46:48,2023-09-21 11:46:48,12,middle,ac,lab,2,overcast
2023-09-21 11:48:02,2023-09-21 11:48:02,13,middle,ac,lab,2,overcast
2023-09-21 11:48:59,2023-09-21 11:48:59,12,middle,ac,lab,2,overcast
2023-09-21 11:49:24,2023-09-21 11:49:24,11,middle,ac,lab,2,overcast
2023-09-21 11:50:23,2023-09-21 11:50:23,9,middle,ac,lab,2,overcast
2023-09-21 11:51:11,2023-09-21 11:51:11,8,middle,ac,lab,2,overcast
2023-09-21 11:51:22,2023-09-21 11:51:22,6,middle,ac,lab,2,overcast
2023-09-21 11:52:24,2023-09-21 11:52:24,5,middle,ac,lab,2,overcast
2023-09-21 11:57:29,2023-09-21 11:57:29,3,middle,ac,lab,2,overcast
2023-09-21 12:02:38,2023-09-21 12:02:38,2,middle,ac,lab,2,overcast
2023-09-21 12:03:42,2023-09-21 12:03:42,3,middle,ac,lab,2,overcast
