Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-13 12:44:16,2023-09-13 12:44:23,15,middle,non ac,classroom,0,cloudy
2023-09-13 12:45:31,2023-09-13 12:45:31,14,middle,non ac,classroom,0,cloudy
2023-09-13 12:45:54,2023-09-13 12:45:54,15,middle,non ac,classroom,0,cloudy
2023-09-13 12:46:22,2023-09-13 12:46:22,16,middle,non ac,classroom,0,cloudy
2023-09-13 12:46:39,2023-09-13 12:46:39,17,middle,non ac,classroom,0,cloudy
2023-09-13 12:47:47,2023-09-13 12:47:47,16,middle,non ac,classroom,0,cloudy
2023-09-13 12:49:43,2023-09-13 12:49:43,13,middle,non ac,classroom,0,cloudy
2023-09-13 12:50:03,2023-09-13 12:50:03,14,middle,non ac,classroom,0,cloudy
2023-09-13 12:56:57,2023-09-13 12:56:57,16,middle,non ac,classroom,0,cloudy
2023-09-13 12:57:22,2023-09-13 12:57:22,15,middle,non ac,classroom,0,cloudy
2023-09-13 12:57:32,2023-09-13 12:57:32,16,middle,non ac,classroom,0,cloudy
2023-09-13 12:58:50,2023-09-13 12:58:50,11,middle,non ac,classroom,0,cloudy
2023-09-13 12:59:29,2023-09-13 12:59:29,10,middle,non ac,classroom,0,cloudy
