Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-26 10:18:40,2023-09-26 10:18:40,39,frontside,ac,classroom,3,sunny
2023-09-26 10:25:04,2023-09-26 10:25:04,40,frontside,ac,classroom,3,sunny
2023-09-26 10:28:04,2023-09-26 10:28:04,43,frontside,ac,classroom,3,sunny
2023-09-26 10:29:41,2023-09-26 10:29:41,44,frontside,ac,classroom,3,sunny
2023-09-26 10:35:37,2023-09-26 10:35:37,47,frontside,ac,classroom,3,sunny
2023-09-26 10:39:32,2023-09-26 10:39:32,48,frontside,ac,classroom,3,sunny
2023-09-26 10:47:31,2023-09-26 10:47:31,50,frontside,ac,classroom,3,sunny
2023-09-26 10:49:37,2023-09-26 10:49:37,52,frontside,ac,classroom,3,sunny
2023-09-26 10:57:20,2023-09-26 10:57:20,50,frontside,ac,classroom,3,sunny
2023-09-26 10:58:57,2023-09-26 10:58:57,52,frontside,ac,classroom,3,sunny
2023-09-26 10:59:28,2023-09-26 10:59:28,50,frontside,ac,classroom,3,sunny
2023-09-26 10:59:47,2023-09-26 10:59:47,48,frontside,ac,classroom,3,sunny
2023-09-26 11:00:04,2023-09-26 11:00:04,47,frontside,ac,classroom,3,sunny
2023-09-26 11:00:07,2023-09-26 11:00:07,49,frontside,ac,classroom,3,sunny
2023-09-26 11:00:21,2023-09-26 11:00:21,48,frontside,ac,classroom,3,sunny
2023-09-26 11:01:28,2023-09-26 11:01:28,46,frontside,ac,classroom,3,sunny
2023-09-26 11:01:34,2023-09-26 11:01:34,48,frontside,ac,classroom,3,sunny
2023-09-26 11:01:44,2023-09-26 11:01:44,44,frontside,ac,classroom,3,sunny
2023-09-26 11:01:51,2023-09-26 11:01:51,42,frontside,ac,classroom,3,sunny
2023-09-26 11:02:04,2023-09-26 11:02:04,40,frontside,ac,classroom,3,sunny
2023-09-26 11:02:32,2023-09-26 11:02:32,36,frontside,ac,classroom,3,sunny
