Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-27 12:51:26,2023-09-27 12:51:26,11,frontside,ac,lab,2,overcast
2023-09-27 12:51:27,2023-09-27 12:51:27,11,frontside,ac,lab,2,overcast
2023-09-27 12:53:44,2023-09-27 12:53:44,9,frontside,ac,lab,2,overcast
2023-09-27 12:53:44,2023-09-27 12:53:44,9,frontside,ac,lab,2,overcast
2023-09-27 12:54:39,2023-09-27 12:54:39,11,frontside,ac,lab,2,overcast
2023-09-27 13:07:24,2023-09-27 13:07:24,10,frontside,ac,lab,2,overcast
2023-09-27 13:08:10,2023-09-27 13:08:10,9,frontside,ac,lab,2,overcast
2023-09-27 13:08:37,2023-09-27 13:08:37,10,frontside,ac,lab,2,overcast
2023-09-27 13:08:37,2023-09-27 13:08:37,10,frontside,ac,lab,2,overcast
2023-09-27 13:11:08,2023-09-27 13:11:08,11,frontside,ac,lab,2,overcast
2023-09-27 13:11:29,2023-09-27 13:11:29,10,frontside,ac,lab,2,overcast
2023-09-27 13:15:32,2023-09-27 13:18:59,7,frontside,ac,lab,2,overcast
2023-09-27 13:19:17,2023-09-27 13:19:17,9,frontside,ac,lab,2,overcast
2023-09-27 13:25:18,2023-09-27 13:25:18,8,frontside,ac,lab,2,overcast
2023-09-27 13:28:52,2023-09-27 13:28:52,9,frontside,ac,lab,2,overcast
